品种,板块,子节点,图名称,同花顺概念名,知几ID,知几名称,置信度
LI,,3.1.3,盐湖提锂产量时序图,盐湖提锂产量,a12723867,SMM: 碳酸锂产量: 盐湖产: 周度,A
LI,,3.1.3,国内锂矿社会库存时序图,国内锂矿社会库存,a12855432,SMM: 国产铁矿石库存: 内蒙古: 月度,B
LI,,3.1.4,锂矿进口总量时序图,锂矿进口总量,a10001421,中国海关: 锂精矿月度进口量: 总计: 月度,A
LI,,3.1.4,锂矿进口量分国别时序图,锂矿进口量分国别,a12857355,中国海关: 碳酸锂进口分国别地区: 印度尼西亚丨进口数量: 月度,A
LI,,3.1.4,锂矿进口结构占比时序图,锂矿进口结构占比,ID02194398,锂辉石原矿：1-2%Li2O：南非产：远期现货价格：中国（日）,A
LI,,3.1.4,锂矿进口均价时序图,锂矿进口均价,a12852994,中国海关: 锂精矿月度进口均价: 其他: 月度,A
LI,,3.1.4,锂矿进口盈亏时序图,锂矿进口盈亏,a10178165,SMM: 金属锂产量: 月度,B
LI,,3.1.5,锂矿TC时序图,锂矿TC,a12756588,SMM: 锂矿理论自给率: 月度,A
LI,,3.1.5,锂矿TC分地区时序图,锂矿TC分地区,a12723892,SMM: 碳酸锂产能分地区: 青海: 月度,A
LI,,3.1.5,锂矿TC分矿种时序图,锂矿TC分矿种,a10135423,沸腾环贸: 石料分品种出港: 锂辉石精矿: 周度,A
LI,,3.1.5,锂辉石TC时序图,锂辉石TC,a12756589,SMM: 锂辉石理论自给率: 月度,A
LI,,3.1.5,锂云母TC时序图,锂云母TC,a12756591,SMM: 锂云母总产量: 月度,A
LI,,3.2.1,电池级碳酸锂产量时序图,电池级碳酸锂产量,a12715549,SMM: 碳酸锂产量: 电池级: 月度,A
LI,,3.2.1,工业级碳酸锂产量时序图,工业级碳酸锂产量,a12715548,SMM: 碳酸锂产量: 工业级: 月度,A
LI,,3.2.1,氢氧化锂产量时序图,氢氧化锂产量,a10001934,SMM: 氢氧化锂产量: 总: 月度,A
LI,,3.2.1,盐湖提锂精炼产量时序图,盐湖提锂精炼产量,a12723867,SMM: 碳酸锂产量: 盐湖产: 周度,A
LI,,3.2.1,国内锂盐精炼社会库存时序图,国内锂盐精炼社会库存,a12793286,SMM: 金属锂产能: 月度,B
LI,,3.2.2,国内锂盐精炼开工率时序图,国内锂盐精炼开工率,a12715874,SMM: 碳酸锂开工率: 盐湖: 月度,A
LI,,3.2.2,国内锂盐检修量时序图,国内锂盐检修量,a12866907,中国海关: 氯化锂出口: 委内瑞拉-出口数量: 月度,A
LI,,3.2.2,电池级碳酸锂开工率时序图,电池级碳酸锂开工率,a12818522,SMM: 电池级氟化锂开工率: 月度,A
LI,,3.2.2,氢氧化锂开工率时序图,氢氧化锂开工率,a10167884,SMM: 氢氧化锂总开工率: 月度,A
LI,,3.2.2,盐湖提锂开工率时序图,盐湖提锂开工率,a12715874,SMM: 碳酸锂开工率: 盐湖: 月度,A
LI,,3.2.3,再生碳酸锂产量时序图,再生碳酸锂产量,a12715550,SMM: 碳酸锂产量: 月度,A
LI,,3.2.3,再生氢氧化锂产量时序图,再生氢氧化锂产量,a10001934,SMM: 氢氧化锂产量: 总: 月度,A
LI,,3.2.3,回收企业产量时序图,回收企业产量,a12754398,SMM: 碳酸锂产量: 回收料产: 周度,B
LI,,3.2.3,回收企业开工率时序图,回收企业开工率,a10148419,SMM: 锂电铜箔企业开工率: 月度,B
LI,,3.2.3,再生碳酸锂社会库存时序图,再生碳酸锂社会库存,a12795935,SMM: 四地样本碳酸锂社会库存（上海，江苏，江西，四川）: 周度,A
LI,,3.2.4,电池级碳酸锂冶炼利润时序图,电池级碳酸锂冶炼利润,a12795957,SMM: 碳酸锂现金生产利润: 外购三元电池黑粉（Li: 3.0%-3.5%）: 日度,A
LI,,3.2.4,氢氧化锂冶炼利润时序图,氢氧化锂冶炼利润,a12763812,SMM: 氢氧化锂生产利润: 冶炼法: 日度,A
LI,,3.2.4,盐湖提锂冶炼利润时序图,盐湖提锂冶炼利润,a12763812,SMM: 氢氧化锂生产利润: 冶炼法: 日度,A
LI,,3.2.4,锂云母冶炼利润时序图,锂云母冶炼利润,a12763812,SMM: 氢氧化锂生产利润: 冶炼法: 日度,A
LI,,3.2.4,电池级碳酸锂冶炼利润分位时序图,电池级碳酸锂冶炼利润分位,a12795957,SMM: 碳酸锂现金生产利润: 外购三元电池黑粉（Li: 3.0%-3.5%）: 日度,A
LI,,4.1,碳酸锂交易所库存时序图,碳酸锂交易所库存,a12855065,广期日库存:碳酸锂:中物流（常州）:增减,A
LI,,4.1,LME碳酸锂库存时序图,LME碳酸锂库存,a12752003,SMM: 四地样本碳酸锂社会库存: 沪苏赣川: 周度,A
LI,,4.1,LME碳酸锂注销仓单占比时序图,LME碳酸锂注销仓单占比,a12801446,SMM: 单吨碳排: 碳酸锂分项占比: 年度,A
LI,,4.1,碳酸锂仓单注销占比时序图,碳酸锂仓单注销占比,a12795881,GFEX: 碳酸锂: 仓单日报:增减: 日度,A
LI,,4.1,碳酸锂交易所库存与LME碳酸锂库存时序图,碳酸锂交易所库存与LME碳酸锂库存,a12855065,广期日库存:碳酸锂:中物流（常州）:增减,A
LI,,4.2,碳酸锂仓单数量时序图,碳酸锂仓单数量,a12723883,GFEX: 广期所碳酸锂期货交割库容: 交割仓库库容: 月度,A
LI,,4.2,碳酸锂注销仓单数量时序图,碳酸锂注销仓单数量,a12723883,GFEX: 广期所碳酸锂期货交割库容: 交割仓库库容: 月度,A
LI,,4.2,碳酸锂仓单数量与注销仓单数量时序图,碳酸锂仓单数量与注销仓单数量,FU00058102,GFEX：碳酸锂：仓单数量（日）,A
LI,,4.2,LME碳酸锂仓单数量时序图,LME碳酸锂仓单数量,a12795882,GFEX: 碳酸锂: 仓单日报:今日仓单量: 日度,A
LI,,4.2,LME碳酸锂注销仓单数量时序图,LME碳酸锂注销仓单数量,a12795882,GFEX: 碳酸锂: 仓单日报:今日仓单量: 日度,A
LI,,4.3,碳酸锂社会库存总量时序图,碳酸锂社会库存总量,a12795935,SMM: 四地样本碳酸锂社会库存（上海，江苏，江西，四川）: 周度,A
LI,,4.3,碳酸锂社会库存分地区时序图,碳酸锂社会库存分地区,a12795935,SMM: 四地样本碳酸锂社会库存（上海，江苏，江西，四川）: 周度,A
LI,,4.3,厂内库存时序图,厂内库存,a10102522,SMM: 螺纹厂内库存: 周度,B
LI,,4.3,在途库存时序图,在途库存,ID02093014,锂矿：外采：在途库存：中国：锂盐厂（月）,A
LI,,4.3,隐性库存时序图,隐性库存,a12818581,SMM: 钴酸锂库存: 月度,B
LI,,4.4,碳酸锂工厂库存总量时序图,碳酸锂工厂库存总量,a12715574,SMM: 碳酸锂库存: 总计: 月度,A
LI,,4.4,碳酸锂工厂库存天数时序图,碳酸锂工厂库存天数,a12805120,SMM: 碳酸锂库存周期指数: 分环节库存天数: 上游: 周度,A
LI,,4.4,碳酸锂工厂库存分地区时序图,碳酸锂工厂库存分地区,a10097626,SMM: 碳酸锂库存: 冶炼厂: 月度,A
LI,,4.4,碳酸锂工厂库存总量与碳酸锂社会库存总量时序图,碳酸锂工厂库存总量与碳酸锂社会库存总量,a12715574,SMM: 碳酸锂库存: 总计: 月度,A
LI,,4.4,碳酸锂工厂库存隐性库存时序图,碳酸锂工厂库存隐性库存,a10097626,SMM: 碳酸锂库存: 冶炼厂: 月度,A
